time,package,uid,immediate,schedulingon
1527428851445,com.samsung.android.incallui,1001,1,0
1527428851773,com.samsung.android.incallui,1001,1,0
1527428851859,com.samsung.android.incallui,1001,1,0
1527428851949,com.samsung.android.incallui,1001,1,0
1527428851986,com.samsung.android.incallui,1001,1,0
1527428852018,com.samsung.android.incallui,1001,1,0
1527428881247,com.android.systemui,10007,1,0
1527428903575,com.samsung.android.incallui,1001,1,0
1527428904412,com.samsung.android.incallui,1001,1,0
1527428904462,com.samsung.android.incallui,1001,1,0
1527428904710,gogolook.callgogolook2,10287,1,0
1527428905086,com.samsung.android.incallui,1001,1,0
1527428921511,com.android.systemui,10007,1,0
1527428941668,com.android.systemui,10007,1,0
1527428971821,com.android.systemui,10007,1,0
1527428991937,com.android.systemui,10007,1,0
1527429012048,com.android.systemui,10007,1,0
1527429021053,com.google.android.gm,10125,1,0
1527429021185,com.google.android.gm,10125,1,0
1527429032173,com.android.systemui,10007,1,0
1527429062313,com.android.systemui,10007,1,0
1527429082464,com.android.systemui,10007,1,0
1527429102595,com.android.systemui,10007,1,0
1527429122714,com.android.systemui,10007,1,0
1527429154696,kr.co.rinasoft.howuse,10251,1,0
1527429162940,com.android.systemui,10007,1,0
1527429183134,com.android.systemui,10007,1,0
1527429213261,com.android.systemui,10007,1,0
1527429233379,com.android.systemui,10007,1,0
1527429253505,com.android.systemui,10007,1,0
1527429273628,com.android.systemui,10007,1,0
1527429293745,com.android.systemui,10007,1,0
1527429323892,com.android.systemui,10007,1,0
1527429344029,com.android.systemui,10007,1,0
1527429364146,com.android.systemui,10007,1,0
1527429384267,com.android.systemui,10007,1,0
1527429404450,com.android.systemui,10007,1,0
1527429424496,com.android.systemui,10007,1,0
1527429454672,com.android.systemui,10007,1,0
1527429474808,com.android.systemui,10007,1,0
1527429497323,com.blinkslabs.blinkist.android,10305,1,0
1527429517839,kr.co.rinasoft.howuse,10251,1,0
1527429826634,com.blinkslabs.blinkist.android,10305,1,0
1527429827872,com.blinkslabs.blinkist.android,10305,1,0
1527429974600,com.blinkslabs.blinkist.android,10305,1,0
1527430470791,com.blinkslabs.blinkist.android,10305,1,0
1527430471630,com.blinkslabs.blinkist.android,10305,1,0
1527430653169,com.blinkslabs.blinkist.android,10305,1,0
1527430677790,com.nhn.android.band,10209,1,0
1527430677804,com.nhn.android.band,10209,1,0
1527431026548,com.nhn.android.band,10209,1,0
1527431026569,com.nhn.android.band,10209,1,0
1527431037459,com.nhn.android.band,10209,1,0
1527431037480,com.nhn.android.band,10209,1,0
1527431133891,com.kakao.talk,10194,1,0
1527434361847,com.facebook.katana,10275,1,0
1527434779966,kr.co.rinasoft.howuse,10251,1,0
1527437442403,kr.co.rinasoft.howuse,10251,1,0
1527437504480,kr.co.rinasoft.howuse,10251,1,0
1527437583085,kr.co.rinasoft.howuse,10251,1,0
1527437644671,kr.co.rinasoft.howuse,10251,1,0
1527437706432,kr.co.rinasoft.howuse,10251,1,0
1527437768420,kr.co.rinasoft.howuse,10251,1,0
1527437830530,kr.co.rinasoft.howuse,10251,1,0
1527437892168,kr.co.rinasoft.howuse,10251,1,0
1527437953778,kr.co.rinasoft.howuse,10251,1,0
1527438015367,kr.co.rinasoft.howuse,10251,1,0
1527438077125,kr.co.rinasoft.howuse,10251,1,0
1527438138802,kr.co.rinasoft.howuse,10251,1,0
1527438200475,kr.co.rinasoft.howuse,10251,1,0
1527438262222,kr.co.rinasoft.howuse,10251,1,0
1527438323962,kr.co.rinasoft.howuse,10251,1,0
1527438356065,com.instagram.android,10285,1,0
1527438385871,kr.co.rinasoft.howuse,10251,1,0
1527438447500,kr.co.rinasoft.howuse,10251,1,0
1527438509268,kr.co.rinasoft.howuse,10251,1,0
1527438570936,kr.co.rinasoft.howuse,10251,1,0
1527438632697,kr.co.rinasoft.howuse,10251,1,0
1527438694459,kr.co.rinasoft.howuse,10251,1,0
1527438756230,kr.co.rinasoft.howuse,10251,1,0
1527438817960,kr.co.rinasoft.howuse,10251,1,0
1527438879743,kr.co.rinasoft.howuse,10251,1,0
1527438941424,kr.co.rinasoft.howuse,10251,1,0
1527439003181,kr.co.rinasoft.howuse,10251,1,0
1527439064862,kr.co.rinasoft.howuse,10251,1,0
1527439126541,kr.co.rinasoft.howuse,10251,1,0
1527439188275,kr.co.rinasoft.howuse,10251,1,0
1527439250088,kr.co.rinasoft.howuse,10251,1,0
1527439311805,kr.co.rinasoft.howuse,10251,1,0
1527439373493,kr.co.rinasoft.howuse,10251,1,0
1527439435296,kr.co.rinasoft.howuse,10251,1,0
1527439498066,kr.co.rinasoft.howuse,10251,1,0
1527439559730,kr.co.rinasoft.howuse,10251,1,0
1527439621483,kr.co.rinasoft.howuse,10251,1,0
1527439683393,kr.co.rinasoft.howuse,10251,1,0
1527439745114,kr.co.rinasoft.howuse,10251,1,0
1527439806862,kr.co.rinasoft.howuse,10251,1,0
1527439868658,kr.co.rinasoft.howuse,10251,1,0
1527439930363,kr.co.rinasoft.howuse,10251,1,0
1527439992193,kr.co.rinasoft.howuse,10251,1,0
1527440053936,kr.co.rinasoft.howuse,10251,1,0
1527440115658,kr.co.rinasoft.howuse,10251,1,0
1527440177357,kr.co.rinasoft.howuse,10251,1,0
1527440239127,kr.co.rinasoft.howuse,10251,1,0
1527440300904,kr.co.rinasoft.howuse,10251,1,0
1527440362643,kr.co.rinasoft.howuse,10251,1,0
1527440426218,kr.co.rinasoft.howuse,10251,1,0
1527440492591,kr.co.rinasoft.howuse,10251,1,0
1527440559270,kr.co.rinasoft.howuse,10251,1,0
1527440625620,kr.co.rinasoft.howuse,10251,1,0
1527440692090,kr.co.rinasoft.howuse,10251,1,0
1527440758123,kr.co.rinasoft.howuse,10251,1,0
1527440824449,kr.co.rinasoft.howuse,10251,1,0
1527440890772,kr.co.rinasoft.howuse,10251,1,0
1527440957282,kr.co.rinasoft.howuse,10251,1,0
1527441023697,kr.co.rinasoft.howuse,10251,1,0
1527441090107,kr.co.rinasoft.howuse,10251,1,0
1527441156620,kr.co.rinasoft.howuse,10251,1,0
1527441222925,kr.co.rinasoft.howuse,10251,1,0
1527441289442,kr.co.rinasoft.howuse,10251,1,0
1527441355802,kr.co.rinasoft.howuse,10251,1,0
1527441422133,kr.co.rinasoft.howuse,10251,1,0
1527441488477,kr.co.rinasoft.howuse,10251,1,0
1527441554973,kr.co.rinasoft.howuse,10251,1,0
1527441621518,kr.co.rinasoft.howuse,10251,1,0
1527441687925,kr.co.rinasoft.howuse,10251,1,0
1527441754421,kr.co.rinasoft.howuse,10251,1,0
1527441820646,kr.co.rinasoft.howuse,10251,1,0
1527441886833,kr.co.rinasoft.howuse,10251,1,0
1527441953433,kr.co.rinasoft.howuse,10251,1,0
1527442019683,kr.co.rinasoft.howuse,10251,1,0
1527442089396,kr.co.rinasoft.howuse,10251,1,0
1527442151030,kr.co.rinasoft.howuse,10251,1,0
1527442206460,com.android.systemui,10007,1,0
1527442211284,com.android.systemui,10007,1,0
1527442227408,com.android.systemui,10007,1,0
1527442256935,com.android.systemui,10007,1,0
1527442263013,com.android.providers.downloads,10028,1,0
1527442263431,com.android.providers.downloads,10028,1,0
1527442263633,com.android.providers.downloads,10028,1,0
1527442263721,com.android.providers.downloads,10028,1,0
1527442263740,com.android.providers.downloads,10028,1,0
1527442263751,com.android.providers.downloads,10028,1,0
1527442263775,com.android.providers.downloads,10028,1,0
1527442264601,com.android.providers.downloads,10028,1,0
1527442264737,com.android.providers.downloads,10028,1,0
1527442266432,com.android.systemui,10007,1,0
1527442282133,com.android.vending,10040,1,0
1527442286515,com.android.systemui,10007,1,0
1527442296583,com.android.systemui,10007,1,0
1527442306604,com.android.systemui,10007,1,0
1527442329509,com.android.vending,10040,1,0
1527442329515,com.android.systemui,10007,1,0
1527442337008,com.android.systemui,10007,1,0
1527442367887,com.android.systemui,10007,1,0
1527442388840,com.android.systemui,10007,1,0
1527442398948,com.android.systemui,10007,1,0
1527442408971,com.android.systemui,10007,1,0
1527442419039,com.android.systemui,10007,1,0
1527442439153,com.android.systemui,10007,1,0
1527442449214,com.android.systemui,10007,1,0
1527442477377,com.android.systemui,10007,1,0
1527442499381,com.android.systemui,10007,1,0
1527442515485,com.android.systemui,10007,1,0
1527442522377,com.android.systemui,10007,1,0
1527442533365,com.android.systemui,10007,1,0
1527442541375,com.android.systemui,10007,1,0
1527442560394,com.android.systemui,10007,1,0
1527442591367,com.android.systemui,10007,1,0
1527442621495,com.android.systemui,10007,1,0
1527442632375,com.android.systemui,10007,1,0
1527442664361,com.android.systemui,10007,1,0
1527442670368,com.android.systemui,10007,1,0
1527442681402,com.android.systemui,10007,1,0
1527442712451,com.android.systemui,10007,1,0
1527442729456,com.android.systemui,10007,1,0
1527442741386,com.android.systemui,10007,1,0
1527442772363,com.android.systemui,10007,1,0
1527442801392,com.android.systemui,10007,1,0
1527442812366,com.android.systemui,10007,1,0
1527442844451,com.android.systemui,10007,1,0
1527442856686,com.android.systemui,10007,1,0
1527442868420,com.android.systemui,10007,1,0
1527442887388,com.android.systemui,10007,1,0
1527442918373,com.android.systemui,10007,1,0
1527442923349,com.android.systemui,10007,1,0
1527442954449,com.android.systemui,10007,1,0
1527442981410,com.android.systemui,10007,1,0
1527443011366,com.android.systemui,10007,1,0
1527443029376,com.android.systemui,10007,1,0
1527443041648,com.android.systemui,10007,1,0
1527443073357,com.android.systemui,10007,1,0
1527443101381,com.android.systemui,10007,1,0
1527443132376,com.android.systemui,10007,1,0
1527443161441,com.android.systemui,10007,1,0
1527443194374,com.android.systemui,10007,1,0
1527443221397,com.android.systemui,10007,1,0
1527443252441,com.android.systemui,10007,1,0
1527443281391,com.android.systemui,10007,1,0
1527443312380,com.android.systemui,10007,1,0
1527443329451,com.android.systemui,10007,1,0
1527443340369,com.android.systemui,10007,1,0
1527443349373,com.android.systemui,10007,1,0
1527443381440,com.android.systemui,10007,1,0
1527443400373,com.android.systemui,10007,1,0
1527443431362,com.android.systemui,10007,1,0
1527443441384,com.android.systemui,10007,1,0
1527443461444,com.android.systemui,10007,1,0
1527443492439,com.android.systemui,10007,1,0
1527443507371,com.android.systemui,10007,1,0
1527443521425,com.android.systemui,10007,1,0
1527443552385,com.android.systemui,10007,1,0
1527443581496,com.android.systemui,10007,1,0
1527443612366,com.android.systemui,10007,1,0
1527443629393,com.android.systemui,10007,1,0
1527443639444,com.android.systemui,10007,1,0
1527443673378,com.android.systemui,10007,1,0
1527443701466,com.android.systemui,10007,1,0
1527443735393,com.android.systemui,10007,1,0
1527443760450,com.android.systemui,10007,1,0
1527443791375,com.android.systemui,10007,1,0
1527443821466,com.android.systemui,10007,1,0
1527443852371,com.android.systemui,10007,1,0
1527443881441,com.android.systemui,10007,1,0
1527443912462,com.android.systemui,10007,1,0
1527443929420,com.android.systemui,10007,1,0
1527443940376,com.android.systemui,10007,1,0
1527443969377,com.android.systemui,10007,1,0
1527446480128,com.sec.android.app.samsungapps,10025,1,1
1527446480164,com.sec.android.app.samsungapps,10025,1,1
1527446481835,com.sec.android.app.samsungapps,10025,1,1
1527446482815,com.sec.android.app.samsungapps,10025,1,1
1527446483295,com.sec.android.app.samsungapps,10025,1,1
1527446483332,com.sec.android.app.samsungapps,10025,1,1
1527446525892,com.google.android.apps.photos,10158,1,1
1527446553079,com.sec.android.app.samsungapps,10025,1,1
1527446675810,com.sec.android.daemonapp,10150,1,1
1527454934609,msnl.unist.smartpushscheduler,10310,0,1
1527458401204,com.sec.android.app.clockpackage,10176,1,1
1527458402390,msnl.unist.smartpushscheduler,10310,0,1
1527458402408,msnl.unist.smartpushscheduler,10310,0,1
1527458404268,msnl.unist.smartpushscheduler,10310,0,1
1527458411614,msnl.unist.smartpushscheduler,10310,0,1
1527458411624,msnl.unist.smartpushscheduler,10310,0,1
1527458414675,msnl.unist.smartpushscheduler,10310,0,1
1527458414736,msnl.unist.smartpushscheduler,10310,0,1
1527458420899,msnl.unist.smartpushscheduler,10310,0,1
1527458420940,msnl.unist.smartpushscheduler,10310,0,1
1527458420951,msnl.unist.smartpushscheduler,10310,0,1
1527458420968,msnl.unist.smartpushscheduler,10310,0,1
1527458420978,msnl.unist.smartpushscheduler,10310,0,1
1527458421003,msnl.unist.smartpushscheduler,10310,0,1
1527458421009,msnl.unist.smartpushscheduler,10310,0,1
1527458421010,msnl.unist.smartpushscheduler,10310,0,1
1527458421081,msnl.unist.smartpushscheduler,10310,0,1
1527458421083,msnl.unist.smartpushscheduler,10310,0,1
1527458421204,msnl.unist.smartpushscheduler,10310,0,1
1527458421210,msnl.unist.smartpushscheduler,10310,0,1
1527458421249,msnl.unist.smartpushscheduler,10310,0,1
1527458421251,msnl.unist.smartpushscheduler,10310,0,1
1527458421284,msnl.unist.smartpushscheduler,10310,0,1
1527458421290,msnl.unist.smartpushscheduler,10310,0,1
1527458421569,msnl.unist.smartpushscheduler,10310,0,1
1527458421587,msnl.unist.smartpushscheduler,10310,0,1
1527458421744,msnl.unist.smartpushscheduler,10310,0,1
1527458421747,msnl.unist.smartpushscheduler,10310,0,1
1527458422258,msnl.unist.smartpushscheduler,10310,0,1
1527458422272,msnl.unist.smartpushscheduler,10310,0,1
1527458422278,msnl.unist.smartpushscheduler,10310,0,1
1527458422281,msnl.unist.smartpushscheduler,10310,0,1
1527458432967,msnl.unist.smartpushscheduler,10310,0,1
1527458432977,msnl.unist.smartpushscheduler,10310,0,1
1527458737543,msnl.unist.smartpushscheduler,10310,0,1
1527460201916,msnl.unist.smartpushscheduler,10310,0,1
1527460201926,msnl.unist.smartpushscheduler,10310,0,1
1527460202395,msnl.unist.smartpushscheduler,10310,0,1
1527460216751,msnl.unist.smartpushscheduler,10310,0,1
1527460216771,msnl.unist.smartpushscheduler,10310,0,1
1527460237825,msnl.unist.smartpushscheduler,10310,0,1
1527460237843,msnl.unist.smartpushscheduler,10310,0,1
1527460259234,msnl.unist.smartpushscheduler,10310,0,1
1527460259261,msnl.unist.smartpushscheduler,10310,0,1
